Name,Nationality,Club,Position,Overall,Pace,Shooting,Passing,Dribbling,Defence,Physical,Image
AchrafHakimi,Morocco,Paris SG,Defence,84,92,75,79,80,75,78,
Alessandro Bastoni,Italy,Inter,Defence,84,73,35,69,71,86,82,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/237383.png
AlphonsoDavies,Canada,FC Bayern München,Defence,84,94,66,77,85,76,77,
AndrewRobertson,Scotland,Liverpool,Defence,87,80,61,81,81,82,76,
Angelino,Spain,Hoffenheim,Defence,83,78,81,82,84,76,70,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/220651.png
AntonioRudiger,Germany,Real Madrid,Defence,87,82,53,71,67,86,85,
AymericLaporte,Spain,Manchester City,Defence,86,61,50,72,69,86,79,
Bremmer,Brazil,Juventus,Defence,83,78,50,56,65,84,79,
Carajval,Spain,Real Madrid,Defence,84,82,54,77,80,78,79,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/204963.png
Christian Romero,Argentina,Spurs,Defence,83,73,46,57,65,85,82,
DavidAlaba,Austria,Real Madrid,Defence,86,79,71,83,80,85,77,
Deigo Carlos,Brazil,Aston Villa,Defence,83,76,46,63,67,82,82,
Eder Militao,Brazil,Real Madrid,Defence,84,86,50,70,72,85,82,
Ferland Mendy,France,Real Madrid,Defence,83,92,64,77,78,78,84,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/228618.png
Fikayo Tomori,England,Milan,Defence,84,86,40,60,66,86,81,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/232756.png
Georgio Chiellini,Italy,LAFC,Defence,84,64,46,60,58,85,83,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/186345.png
Jesus Navas,Spain,Sevilla,Defence,83,85,68,82,81,79,57,
Joao Cancelo,Portugal,Manchester City,Defence,88,85,73,85,85,81,73,
Joel Mattip,Cameroon,Liverpool,Defence,84,61,46,69,71,87,78,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/197061.png
John Stones,England,Man City,Defence,83,72,51,71,75,84,77,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/203574.png
Jordi Alba,Spain,FC Barcelona,Defence,85,84,70,82,82,77,70,
Jose Maria Gimenez,Uruguay,Atletico de Madrid,Defence,83,71,46,57,60,85,83,
Juan Caurado,Columbia,Juventus,Defence,83,90,75,78,87,76,72,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/204639.png
JulesKounde,France,FC Barcelona,Defence,84,84,45,64,74,85,78,
KalidouKoulibaly,Senegal,Chelsea,Defence,87,82,33,59,68,88,85,
Keiran Tripper,England,New Castle,Defence,84,70,64,82,77,80,72,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/186345.png
KyleWalker,England,Manchester City,Defence,85,91,63,77,78,80,82,
Leonardo Bonucci,Italy,Juventus,Defence,84,54,59,69,71,85,78,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/184344.png
LucasHernandez,France,FC Bayern München,Defence,84,77,54,70,71,84,80,
MarcosAcuna,Argentina,Sevilla FC,Defence,85,76,74,83,87,80,83,
Marquinhos,Brazil,Paris SG,Defence,88,79,56,75,74,89,80,
Mats Hummel,Germany,Borussia Dortmund,Defence,84,53,59,76,72,87,78,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/178603.png
Matthijsde Ligt,Holland,FC Bayern München,Defence,85,75,59,61,69,84,87,
MilanSkriniar,Slovakia,Inter,Defence,86,78,41,57,69,88,86,
NiklasSule,Germany,Borussia Dortmund,Defence,85,71,48,66,59,85,83,
Pau Torres,Spain,Villarreal,Defence,83,73,38,67,70,84,81,
Pique,Spain,Barcelona,Defence,83,56,61,71,68,84,77,
Presnel Kimpembe,France',Paris SG,Defence,83,80,43,68,69,83,86,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/225850.png
Ralphael Varane,France,Man United,Defence,84,81,49,64,66,85,80,
ReeceJames,England,Chelsea,Defence,84,81,70,82,82,80,82,
Ricardo Periera,Portugal,Leiscester,Defence,83,79,67,79,81,80,73,
Ronald Araujo,Uruguay,Barcelona,Defence,83,77,51,65,61,83,83,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/253163.png
Ruben Dias,Portugal,Manchester City,Defence,88,63,39,66,68,88,88,
Sergio Ramos,Spain,Paris SG,Defence,84,61,69,73,70,83,77,
Stefan Slavic,Montenegro,Atletico De Madrid,Defence,84,64,35,58,58,87,80,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/204639.png
Stephan De Vrij,Holland,Inter,Defence,84,68,41,65,69,87,79,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/198176.png
TheoHernandez,France,Milan,Defence,85,93,72,76,81,78,83,
Thiago Silva,Brazil,Chelsea,Defence,86,49,54,73,72,87,76,
TrentAlexander-Arnold,England,Liverpool,Defence,87,76,69,89,80,80,73,
Virgil Van Dijik,Holland,Liverpool,Defence,90,81,60,71,72,91,86,
Karim Benzema,French,Real Madrid,Forward,91,80,88,83,87,39,78,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/165153.png
Robert Lewandowski,Poland,Barcelona,Forward,91,75,91,79,86,44,83,
Kylian Mbappe,French,PSG,Forward,91,97,89,90,94,34,64,
Lionel Messi,Argentina ,PSG,Forward,91,81,89,90,94,34,64,
Mohamed Salah,Egypt,Liberpool,Forward,90,90,89,82,90,45,75,
Cristiano Ronaldo ,Portugal ,Manchester United,Forward,90,81,92,78,85,34,75,
Neymar Jr.,Brazil,PSG,Forward,89,87,83,85,93,37,61,
Heung Min Son,South Korea ,Tottenham ,Forward,89,88,89,82,86,42,69,
Harry Kane,United Kingdom ,tottenham,Forward,89,68,91,83,82,47,82,
Erling Haaland,Norway ,Manchester City,Forward,88,89,91,65,80,49,87,
Vinicius Jr.,Brazil,Real Madrid ,Forward,86,95,79,74,90,29,67,
Christopher Nkunku,France,RB Leipzig,Forward,86,88,81,83,88,65,66,
Lautaro Martinez,Argentina ,Inter Milan,Forward,86,83,83,72,85,48,84,
Paulo Dybala,Argentina,AS Roma,Forward,86,80,85,85,90,40,59,
Raheem Sterling,United Kingdom ,Chelsea,Forward,86,90,80,78,86,45,67,
Riyad Mahrez,Algeria,Manchester City ,Forward,86,80,83,81,90,38,60,
Ciro Immobile,Italy ,SS Lazio,Forward,86,85,87,68,80,39,75,
Romelu Lukaku,Belgium ,Inter Milan,Forward,86,80,85,75,77,38,82,
Phil Foden,United Kingdom ,Manchester City,Forward,85,82,78,81,88,56,60,
Diogo Jota,Portugal,Liverpool ,Forward,85,85,83,75,85,57,77,
Patrika Schick,Czechia,Bayer Leverkusen,Forward,85,78,83,71,83,36,76,
Gerard Moreno,Spain,Villarreal CF,Forward,85,78,86,77,83,46,72,
Iago Aspas,Spain,RC Celta de Vigo,Forward,85,82,85,79,86,35,63,
Jamie Vardy,United Kingdom ,Leicester City FC,Forward,85,84,84,70,79,52,72,
Pierre-Emerick Aubameyang,Gabon,Chelsea ,Forward,85,87,84,74,79,36,68,
Joao Felix,Portugal ,Atletico Madrid,Forward,84,83,80,81,88,40,67,
Dusan Vlahovic,Serbia,Juventus,Forward,84,80,85,66,78,28,79,
WISSAMBEN YEDDER,France,AS Monaco,Forward,84,81,84,78,88,39,68,
JACK GREALISH,England,Manchester City,Forward,84,76,76,83,87,46,69,
OYARZABAL,Spain,Real Sociedad,Forward,84,80,83,81,84,41,62,
FEDERICO CHIESA,Italy,Juventus,Forward,84,91,81,76,86,48,73,
ANGEL DI MARIA,Argentina,Juventus,Forward,84,79,79,84,87,48,67,
LUIS DIAZ,Colombia,Liverpool,Forward,84,91,80,75,87,34,73,
LUIS SUAREZ,Uruguay,Nacional,Forward,84,70,86,78,78,46,81,
DUSAN TADIC,Serbia,Ajax,Forward,84,68,81,86,84,43,77,
Eden Hazard,Belgium,Real Madrid,Forward,84,83,80,82,87,35,63,
Rafael Leao,Portugal,A.C Milan,Forward,84,91,77,73,86,27,74,
Jadon Sancho,England,Manchester United,Forward,84,81,74,81,89,36,59,
Dries Mertens,Belgium,Galatasaray,Forward,84,83,82,80,88,34,49,
Lorenzo Insigne,Italy,Toronto FC,Forward,84,84,78,84,89,36,45,
Edin Dzeko,Bosnia and Herzegovina,Inter,Forward,84,63,84,71,77,45,75,
Angel Correa,Argentina,Athletico Madrid,Forward,83,85,84,77,87,50,74,
Raphinha,Brazil,FC Barcelona,Forward,83,91,79,77,85,50,73,
Antoine Griezmann,France,Athletico Madrid,Forward,83,80,82,83,85,52,72,
Roberto Fermino,Brazil,Liverpool,Forward,83,74,76,79,87,59,78,
Cody Gakpo,Holland,PSV,Forward,83,87,82,77,84,41,74,
Gabriel Jesus,Brazil,Arsenal,Forward,83,84,82,74,86,40,74,
De Tomas,Spain,Real Sociedad,Forward,83,77,84,77,83,40,78,
Hakim Ziyech,Morocco,Chelsa,Forward,83,76,77,87,83,50,65,
Victor Osimhen,Nigeria,Napoli FC,Forward,83,90,82,65,78,40,81,
Marco Asensio,Spain,Real Madrid,Forward,83,82,80,81,83,43,62,
Memphis Depay,Netherlands ,Barcelona ,Forward,82,83,84,82,86,30,79,
Thibaut Courtois,Belgian,Real Madrid,Goal Keeper,90,84,89,75,90,46,89,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/192119.png
Manuel Neuer,German,Bayern Munich,Goal Keeper,90,87,88,91,88,56,91,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/167495.png
Alisson,Brazil,Liverpool,Goal Keeper,89,86,85,85,89,54,90,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/212831.png
Ederson,Brazil,Manchester City,Goal Keeper,89,87,82,93,88,64,88,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/210257.png
Jan Oblak,Slovenia,Athletico Madrid,Goal Keeper,89,86,90,78,89,49,87,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/200389.png
Gianluigi Donnarumma,Italy,PSG,Goal Keeper,88,90,83,79,89,52,85,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/230621.png
Marc-Andre Ter Stegen,German,Barcelona,Goal Keeper,88,86,85,87,90,47,85,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/192448.png
Keylor Navas,Costa Rica,PSG,Goal Keeper,88,89,84,75,89,54,87,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/193041.png
Mike Maignan,French,AC Milan,Goal Keeper,87,85,82,85,89,51,85,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/215698.png
Hugo Lloris,French,Tottenham Hotspurs,Goal Keeper,87,88,83,74,88,61,84,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/167948.png
De Gea,Spanish,Manchester United,Goal Keeper,87,88,80,76,89,51,84,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/193080.png
Edouard Mendy,Senegal,Chelsea,Goal Keeper,86,84,82,81,88,34,85,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/234642.png
Kevin Trapp,German,Eintracht Frankfurt,Goal Keeper,86,84,82,79,87,46,85,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/188943.png
Wojciech Szczesny,Polish,Juventus,Goal Keeper,86,86,81,73,87,49,86,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/186153.png
Yann Sommer,Switzerland,"Borussia M'gladbac
",Goal Keeper,85,78,81,82,90,50,86,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/177683.png
Peter Gulacsi,Hungarian,Rb Leipzig,Goal Keeper,85,85,84,76,85,43,83,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/185122.png
Emiliano Martinez,Argentina,Aston Villa,Goal Keeper,84,85,83,82,85,58,83,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/202811.png
Koen Casteels,Belgian,Vfl Wolfsburg,Goal Keeper,84,84,82,79,86,45,84,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/192984.png
Yassine Bounou,Morrocon,Sevilla,Goal Keeper,84,84,81,76,86,36,84,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/209981.png
Samir Handanovic,Slovenia,Inter Milan,Goal Keeper,84,80,80,65,85,43,90,https://media.contentapi.ea.com/content/dam/ea/fifa/fifa-23/ratings/common/player-small-portraits/162835.png
Kevin De Bruyne,Belgium,Man City,Mid-Field,91,74,88,93,87,64,77,
Sadio Mane,Senegal,Bayern Munich,Mid-Field,89,90,83,80,88,44,77,
Joshua Kimmich,Germany,Bayern Munich,Mid-Field,89,68,72,87,84,83,79,
Casemiro,Brazil,Manchester United,Mid-Field,89,63,73,75,72,87,90,
N'Golo Kante,France,Chelsea,Mid-Field,89,72,66,74,81,87,82,
Toni Kroos,Germany,Real Madrid,Mid-Field,88,53,81,90,81,71,68,
Luka Modric,Croatia,Real Madrid,Mid-Field,88,73,76,89,88,72,66,
Bernardo Silva,Portugal,Manchester City,Mid-Field,88,77,78,84,92,61,68,
Fabinho,Brazil,Liverpool,Mid-Field,87,66,69,78,77,86,83,
Thomas Muller,Germany,Bayern Munich,Mid-Field,87,69,84,83,80,56,71,
Rodri,Spain,Manchester City,Mid-Field,87,58,72,78,79,83,84,
Frenkie De Jong,Netherlands,Barcelona,Mid-Field,87,82,69,86,87,77,78,
Marco Verratti,Italy,PSG,Mid-Field,87,60,61,87,91,79,66,
Leon Goretzka,Germany,Bayern Munich,Mid-Field,87,78,82,82,83,81,86,
Thiago,Spain,Liverpool,Mid-Field,86,61,72,87,90,72,69,
Kingsley Coman,France,Bayern Munich,Mid-Field,86,92,77,79,87,30,62,
Sergej Milinkovic-Savic,Serbia,Latium,Mid-Field,86,68,80,82,82,79,86,
Nicolo Barella,Italy,Inter Milan,Mid-Field,86,79,76,83,84,77,81,
Bruno Fernandes,Portugal,Manchester United,Mid-Field,86,72,86,88,81,67,76,
Marcelo Brozovic,Croatia,Inter Milan,Mid-Field,86,72,86,88,81,67,76,
Dani Parejo,Spain,Villarreal CF,Mid-Field,86,50,83,90,80,71,68,
Ilkay Gundogan,Germany,Manchester City,Mid-Field,85,64,80,85,85,72,72,
Paul Pogba,France,Juventus,Mid-Field,85,67,80,85,85,62,80,
Jorginho,Italy ,Chelsea,Mid-Field,85,54,67,86,81,73,73,
Marco Reus,Geramny,BVB,Mid-Field,85,70,84,84,85,53,65,
Serge Gnabry,Germany,Bayern Munich,Mid-Field,85,82,84,79,85,43,69,
sergio Busquets,Spain,Barcelona,Mid-Field,85,42,62,79,79,82,73,
Pedri,Spain,Barcelona,Mid-Field,85,79,67,81,87,68,73,
Filip Kostic,Serbia,Juventus,Mid-Field,85,84,78,82,82,68,80,
Jude Bellingham,England,BVB,Mid-Field,84,75,75,78,84,77,80,
Martin odegaard,Norway,Arsenal,Mid-Field,84,76,75,86,84,58,63,
Declan Rice ,England,West Ham,Mid-Field,84,71,64,74,76,82,83,
Mason Mount,England,Chelsea,Mid-Field,84,74,81,85,82,55,67,
Fede Valverde,Uruguay,Real Madrid,Mid-Field,84,87,74,79,79,78,80,
Rodri de paul,Argentina,Atletico De Madrid,Mid-Field,84,78,77,83,82,75,81,
Sandro tonali,Italy,AC MILAN,Mid-Field,84,81,73,81,79,79,82,
Frank Kessie,Ivory Coast,Barcelona,Mid-Field,84,78,76,74,79,82,87,
Mateo Kovacic,Croatia,Chelsea,Mid-Field,84,70,69,83,88,71,71,
Ivan Perisic,Croatia,Tottenham,Mid-Field,84,78,81,79,82,74,78,
Thomas Partey,Ghana,Arsenal,Mid-Field,84,65,71,81,80,80,83,
Kai Havertz,Germany,Chelsea,Mid-Field,84,81,79,79,84,45,66,
Moussa Diaby,France,Bayern leverkusen,Mid-Field,84,93,73,75,87,42,59,
Marcos Llorente,Spain,Atletico De Madri,Mid-Field,84,88,79,81,82,78,81,
koke,Spain,Atletico De Madrid,Mid-Field,83,70,72,84,79,78,79,
Jordan Henderson,England,Liverpool,Mid-Field,83,66,74,83,78,78,81,
Ruben Neves,Portugal,Wolverhampton,Mid-Field,83,58,74,86,77,76,73,
Aurelien Tchouameni,France,Real Madrid,Mid-Field,82,70,70,79,78,81,82,
Manuel Locatelli,Italy,Juventus,Mid-Field,82,63,72,79,78,79,79,
James Maddison,England,Leicester City,Mid-Field,82,73,78,84,85,54,62,
Christian Eriksen,Denmark,Manchester Unite,Mid-Field,82,61,78,88,80,53,52,
